CustomerClass,ProductCode,ProductName,IsAllowed
1KRO,5416_UOMPK,AFC-18 Lid  50 pcs,Yes
1KRO,5475_UOMPK,KL Hana-310,No
1KRO,5481_UOMPK,B&H 16 Bowl Body Pack,No
1KRO,5482_UOMPK,B&H 16 Bowl Lid Pack,No
1KRO,5483_UOMPK,B&H 16 Bowl Middle,No
1KRO,5603_UOMCS20,AFC-40L  MW Inner 50pc x 20pk,Yes
1KRO,5603_UOMPK,AFC-40L  MW Inner 50pc x 20pk,Yes
1KRO,5604_UOMCS48,AFC-40S MW INNER 50pc x 48,Yes
1KRO,5604_UOMPK,AFC-40S MW INNER 50pc x 48,Yes
1KRO,5605_UOMCS18,SF-235 Shachi (SF-2),No
1KRO,5605_UOMCS6,AFC-235 Party Tray Body 50pc/PK,Yes
1KRO,5605_UOMPK,AFC-235 Party Tray Body 50pc/PK,No
1KRO,5610_UOMCS18,SF-235 Lid  Pack 20 pc,No
1KRO,5610_UOMCS6,AFC-235 Party Ty Lid 50pc/PK,Yes
1KRO,5610_UOMPK,AFC-235 Party Ty Lid 50pc/PK,No
1KRO,5616_UOMCS6,AFC-275 Party Tray Body 6/50pc,Yes
1KRO,5616_UOMPK,AFC-275 Party Tray Body 6/50pc,Yes
1KRO,5617_UOMCS6,AFC-275 Party Tray Lid 6/50pc,Yes
1KRO,5617_UOMPK,AFC-275 Party Tray Lid 6/50pc,Yes
1KRO,5625_UOMCS16,SF-355 Body (SF-5),Yes
1KRO,5625_UOMPK,SF-355 Body (SF-5),Yes
1KRO,5630_UOMCS16,SF-355 Lid  Pack SF-5,Yes
1KRO,5630_UOMPK,SF-355 Lid  Pack SF-5,Yes
1KRO,5635_UOMCS6,SF-7 Oke Body,Yes
1KRO,5635_UOMPK,SF-7 Oke Body,Yes
1KRO,5640_UOMCS6,SF-7 Lid  Pack 10pc,Yes
1KRO,5640_UOMPK,SF-7 Lid  Pack 10pc,Yes
1KRO,5645_UOMCS12,SF-55 White Bowl Body 50pc,Yes
1KRO,5645_UOMPK,SF-55 White Bowl Body 50pc,Yes
1KRO,5646_UOMCS12,SF-55 Bowl Lid 50pc,Yes
1KRO,5646_UOMPK,SF-55 Bowl Lid 50pc,Yes
1KRO,5647_UOMCS12,SF-55 Inner 200pc/12pk,Yes
1KRO,5647_UOMPK,SF-55 Inner 200pc/12pk,Yes
1KRO,5648_UOMCS,TO-NB24 150sets/cs (SF55),Yes
1KRO,5653_UOMCS6,Donburi Bowl Set DB-103,Yes
1KRO,5653_UOMSET,Donburi Bowl Set DB-103,Yes
1KRO,5670_UOMCS8,AFC-355 Sakura Body Pty Tray 8/10pc/cs,Yes
1KRO,5670_UOMPK,AFC-355 Sakura Body Pty Tray 8/10pc/cs,Yes
1KRO,5671_UOMCS8,AFC-355 Sakura Lid  8/10pc/cs,Yes
1KRO,5671_UOMPK,AFC-355 Sakura Lid  8/10pc/cs,Yes
1KRO,5680_UOMCS6,AFC-7 Sakura Body 6/10pc/cs,Yes
1KRO,5680_UOMPK,AFC-7 Sakura Body 6/10pc/cs,Yes
1KRO,5681_UOMCS6,AFC-7 Sakura Lid 6/10pc/cs,Yes
1KRO,5681_UOMPK,AFC-7 Sakura Lid 6/10pc/cs,Yes
1KRO,5752_UOMCS,White Micro Bowls 36 oz,No
1KRO,5805_UOMCASE,PLA ST-4 Cont. Set 400pc,No
1KRO,5810_UOMCASE,CT 15 400 pcs Set,No
1KRO,5810_UOMCS,ECO 1.5 Compostable Lid,No
1KRO,5810_UOMPK,Eco 1.5 Compostable Lid,No
1KRO,5811_UOMCS,ECO 1.5 Compostable Tray,No
1KRO,5815_UOMCS,Solia 5 oz Clear Cup 100 pc,No
1KRO,5818_UOMCASE,Compostable Bowl BO-SC-U24 500pc,No
1KRO,5819_UOMCASE,Compostable Lid BOL-CS-24 300pc,No
1KRO,5820_UOMCS8,COR-R20 Body Pk 8/50pc,No
1KRO,5820_UOMPK,COR-R20 Body Pk 8/50pc,No
1KRO,5822_UOMCS8,COR-R20 Lid 8/50pc,No
1KRO,5822_UOMPK,COR-R20 Lid 8/50pc,No
1KRO,5823_UOMCS12,COP-R15 Body PK 50pc,Yes
1KRO,5823_UOMPK,COP-R15 Body PK 50pc,Yes
1KRO,5824_UOMCS12,COP-R15 Lid PK 50pc,Yes
1KRO,5824_UOMPK,COP-R15 Lid PK 50pc,Yes
1KRO,5827_UOMCS12,COP-18 Poke Bowl  Body Pk,Yes
1KRO,5827_UOMPK,COP-18 Poke Bowl  Body Pk,Yes
1KRO,5829_UOMCS12,COP-18 Poke Bowl  Lid  Pk,Yes
1KRO,5829_UOMPK,COP-18 Poke Bowl  Lid  Pk,Yes
1KRO,5830_UOMCS10,2 oz Cup  100pc/pk,Yes
1KRO,5830_UOMCS25,2 oz Cup  100pc/pk,Yes
1KRO,5830_UOMPK,2 oz Cup  100pc/pk,Yes
1KRO,5835_UOMCS20,2 oz Lid  100pc/pk,Yes
1KRO,5835_UOMCS25,2 oz Lid  100pc/pk,Yes
1KRO,5835_UOMPK,2 oz Lid  100pc/pk,Yes
1KRO,5836_UOMCS,2 oz Microwaveable Cup and Lid,Yes
1KRO,5840_UOMCS80,Cup 90MB 4 oz  50pc,Yes
1KRO,5840_UOMPK,Cup 90MB 4 oz  50pc,Yes
1KRO,5845_UOMCS80,Cup 90TC 4 oz Lid  50 pc,Yes
1KRO,5845_UOMPK,Cup 90TC 4 oz Lid  50 pc,Yes
1KRO,5860_UOMCS20,Demo Cup  20PK/CS,Yes
1KRO,5860_UOMPK,Demo Cup  20PK/CS,Yes
1KRO,5889_UOMEACH,Sample Tray Dome,Yes
1KRO,6110_UOMCS60,Baran Box 1000 pcs,Yes
1KRO,6110_UOMPK,Baran Box 1000 pcs,Yes
1KRO,6120_UOMCS32,Chopstick 100PR,Yes
1KRO,6120_UOMPK,Chopstick 100PR,Yes
1KRO,6121_UOMCS40,Wild Blue Chopstick 40pks,No
1KRO,6121_UOMPK,Wild Blue Chopstick 40pks,No
1KRO,6130_UOMCS40,Chopkstick Special 100,No
1KRO,6130_UOMPK,Chopkstick Special 100,No
1KRO,6133_UOMSET,Plastic Chopstick(Hello Kitty) 2 P. 1 R. 1 G. 1 B,No
1KRO,6140_UOMPK,Edamame  Sleeve White 100pc,Yes
1KRO,6175_UOMEACH,Towel,No
1KRO,6200_UOMROLL,Thermo  B.R. Gradient,No
1KRO,6201_UOMROLL,White Mini Sticker,No
1KRO,6208_UOMCS16,Thermo Vertical Blue #3,Yes
1KRO,6208_UOMCS24,Thermo Vertical Blue #3,No
1KRO,6208_UOMROLL,Thermo Vertical Blue #3,Yes
1KRO,6212_UOMROLL,Thermo Bel Air,No
1KRO,6220_UOMCS,12024T Freshpak Bowl 300,Yes
1KRO,6221_UOMCS,Freshpak Bowl Lid 52032t 300pc,Yes
1KRO,6222_UOMCS16,Vertical Label Wild Blue,Yes
1KRO,6222_UOMCS20,Vertical Label Wild Blue,Yes
1KRO,6222_UOMROLL,Vertical Label Wild Blue,Yes
1KRO,6248_UOMROLL,Vertical  No Logo,No
1KRO,6252_UOMROLL,Thermo Nobhill,No
1KRO,6256_UOMROLL,Thermo Oishisa,No
1KRO,6258_UOMCS16,Vert. Robert Fresh Label,Yes
1KRO,6258_UOMROLL,Vert. Robert Fresh Label,Yes
1KRO,6261_UOMCS16,Lab. Vertical Nob Hill,Yes
1KRO,6261_UOMROLL,Lab. Vertical Nob Hill,No
1KRO,6262_UOMCS16,Lab. Vertical Raleys,Yes
1KRO,6262_UOMROLL,Lab. Vertical Raleys,No
1KRO,6263_UOMCS16,Lab. Vertical Bel Air,Yes
1KRO,6263_UOMROLL,Lab. Vertical Bel Air,No
1KRO,6264_UOMROLL,Thermo Olo,No
1KRO,6266_UOMCS16,Lab. Vertical Olo,Yes
1KRO,6266_UOMROLL,Lab. Vertical Olo,No
1KRO,6267_UOMROLL,Lab Vertical Oishisa,No
1KRO,6268_UOMCS16,Lab. Vertical PRC Market 32,Yes
1KRO,6268_UOMROLL,Lab. Vertical PRC Market 32,No
1KRO,6269_UOMCS16,Lab. Vertical Draegers,Yes
1KRO,6269_UOMROLL,Lab. Vertical Draegers,No
1KRO,6270_UOMCS16,Lab Vertical Rouses,Yes
1KRO,6270_UOMROLL,Lab Vertical Rouses,No
1KRO,6271_UOMCS16,Lab. Vert. Metropolitan,No
1KRO,6271_UOMROLL,Lab. Vert. Metropolitan,No
1KRO,6273_UOMCS16,Lab. Vertical Walgreen (Red Grad),Yes
1KRO,6273_UOMROLL,Lab. Vertical Walgreen (Red Grad),No
1KRO,6275_UOMCS16,Vert. Lake View Label,Yes
1KRO,6275_UOMROLL,Vert. Lake View Label,No
1KRO,6280_UOMROLL,THERMO YAMATO,No
1KRO,6285_UOMCS16,Thermo Vertical Yamato,Yes
1KRO,6285_UOMROLL,Thermo Vertical Yamato,No
1KRO,6290_UOMCS16,Thermo Verti Yamato Brown,Yes
1KRO,6290_UOMROLL,Thermo Verti Yamato Brown,No
1KRO,6291_UOMCS16,Thermo Kosher Vert.Purple,Yes
1KRO,6291_UOMROLL,Thermo Kosher Vert.Purple,No
1KRO,6292_UOMCS16,Thermal Vertical Stonefish Label,Yes
1KRO,6292_UOMROLL,Thermal Vertical Stonefish Label,No
