Item No,Item Description,Category,UOM,UOM Qty,Cost,Ext. Cost,Price,Ext. Price,Type,Status
8128,Masterchef Knife,EACH,EACH,1,47.42000,47.42000,79.20000,79.20000,Sales Inventory,Active
8129,Ladle 2oz,EACH,EACH,1,0.00000,0.00000,4.15000,4.15000,Sales Inventory,Active
8130,Sharp Storne-LG,EACH,EACH,1,17.47000,17.47000,23.76000,23.76000,Sales Inventory,Active
8131,MEASURING TEASPOON,EACH,EACH,1,2.79000,2.79000,3.55000,3.55000,Sales Inventory,Active
8134,ladle 1oz,EACH,EACH,1,1.50000,1.50000,2.00000,2.00000,Sales Inventory,Active
8137,Ladle 8oz,EACH,EACH,1,5.40000,5.40000,6.50000,6.50000,Sales Inventory,Active
8138,Ladle 12oz,EACH,EACH,1,3.60000,3.60000,4.36000,4.36000,Sales Inventory,Active
8139,Thermo Gun,EACH,EACH,1,0.00000,0.00000,125.00000,125.00000,Sales Inventory,Active
8140,Sushi Former,EACH,EACH,1,3.40000,3.40000,5.94000,5.94000,Sales Inventory,Active
8142,Pail Lid Opener,EACH,EACH,1,1.62000,1.62000,5.58000,5.58000,Sales Inventory,Active
8144,Tweezer,EACH,EACH,1,2.27000,2.27000,4.22000,4.22000,Sales Inventory,Active
8146,Benriner,EACH,EACH,1,17.74000,17.74000,21.65000,21.65000,Sales Inventory,Active
8148,Benriner Blade Only,EACH,EACH,1,4.64000,4.64000,7.39000,7.39000,Sales Inventory,Active
8149,Pastry Bag Lg,PK,PK,1,24.39000,24.39000,25.85000,25.85000,Discontinued,Inactive
8150,Peeler,EACH,EACH,1,1.00000,1.00000,2.38000,2.38000,Sales Inventory,Active
8153,Jigger,EACH,EACH,1,2.80000,2.80000,3.40000,3.40000,Sales Inventory,Active
8154,Blue Sheet,EACH,EACH,1,55.01000,55.01000,154.00000,154.00000,Sales Inventory,Active
8155,Green Mirroe Sheet,EACH,EACH,1,85.00000,85.00000,200.00000,200.00000,Sales Inventory,Active
8156,Sushi Mold (kata),EACH,EACH,1,3.60000,3.60000,3.40000,3.40000,Sales Inventory,Active
8157,Mirror Sheet W/R/Gold for Publix,EACH,EACH,1,205.00000,205.00000,140.00000,140.00000,Sales Inventory,Active
8158,Sunoko (Ivory) Special,CASE,CASE,1,475.00000,475.00000,475.00000,475.00000,Sales Inventory,Active
8160,Sunoko (MAT) IV,CASE,CASE,1,316.00000,316.00000,282.40000,282.40000,Sales Inventory,Active
8162,Buffer Solution,EACH,EACH,1,17.81000,17.81000,23.00000,23.00000,Sales Inventory,Active
8162,Buffer Solution,EACH,SET,2,17.81000,35.62000,46.69000,93.38000,Sales Inventory,Active
8164,Rubber Band,BAG,BAG,1,2.25000,2.25000,2.50000,2.50000,Discontinued,Inactive
