ProductCode,ProductName,IsActive
3430_UOMCS,AFC Basic Sauce,yes
3431_UOMCS,AFC BBQ Sauce,no
3432_UOMCS,Chicken Bouillon Powder,no
3433_UOMBOT,Ginger Sauce 58oz,no
3433_UOMCS,AFC Orange Sauce,yes
3434_UOMCS,AFC Peking Sauce,no
3435_UOMCS,AFC Sesame Sauce,yes
3436_UOMBOT,Chili Sf Sauce 56 oz,no
3436_UOMCS,AFC Stir Fry Sauce,yes
3437_UOMBOT,Sweet & Sour Sauce,no
3437_UOMCS,Sweet & Sour Sauce,no
3437_UOMCS4,Sweet & Sour Sauce,yes
3438_UOMBOT,AFC Yakiniku Sauce,no
3438_UOMCS,AFC Yakiniku Sauce,no
3438_UOMCS4,AFC Yakiniku Sauce,yes
3439_UOMCS,Micro Noodle Bowl 38oz,yes
3440_UOMEACH,Mushroom Bouillon Powder,no
3443_UOMBAG,Classic Teriyaki Sauce 12 bag,no
3443_UOMCS12,Classic Teriyaki Sauce 12 bag,yes
3444_UOMBAG,Sweet & Sour Bag 12 bag,no
3444_UOMCS12,Sweet & Sour Bag 12 bag,no
3445_UOMCS,AFC Sweet & Spicy Dipping Sauce,yes
3446_UOMCASE,AFC Fusion Spicy Sauce,no
3447_UOMCASE,AFC Spicy Bomb Sauce,yes
3448_UOMBOT,Yakisoba Sauce,yes
3448_UOMCS6,Yakisoba Sauce,yes
3450_UOMBOT,Basic Sauce,no
3450_UOMCS4,Basic Sauce,no
3451_UOMBOT,Okonomi  Sauce,no
3451_UOMCS6,Okonomi  Sauce,no
3454_UOMBOT,NEW YAKINIKU SAUCE 1 GAL,no
3454_UOMCS4,NEW YAKINIKU SAUCE 1 GAL,no
3460_UOMBOT,Creamy Sesame Dressing,no
3463_UOMBOT,Men Tsuyu  (Soup Base) 12/16oz,no
3463_UOMCS12,Men Tsuyu  (Soup Base) 12/16oz,yes
3466_UOMBOT,SESAME SAUCE,no
3466_UOMCS,Creamy Sesame Dressing 6/32oz,yes
3467_UOMBAG,Sesame Sauce 15/2lb,no
3467_UOMBOT,Creamy Sesame Dressing CS12,no
3467_UOMCS12,Creamy Sesame Dressing CS12,no
3467_UOMCS15,Sesame Sauce 15/2lb,no
3468_UOMCS,Chinese Style Sesame Dressing,yes
3468_UOMCS6,Chinese Style Sesame Dressing,no
3469_UOMBOT,ORANGE SAUCE Bot.4 Gal/CS,no
3470_UOMBAG,Orange Sauce 15/2lbs,no
3470_UOMCS15,Orange Sauce 15/2lbs,no
3475_UOMBOT,PEKING SAUCE,no
3485_UOMBOT,Miso Ramen Soup 6/2kg,yes
3485_UOMCS6,Miso Ramen Soup 6/2kg,yes
3490_UOMCS12,AFC Poke Sauce 12/720g Otafuku,no
3490_UOMPK,AFC Poke Sauce 12/720g Otafuku,no
3491_UOMCS,Premium AFC Poke Sauce 8/720g,yes
3492_UOMPK,Premium AFC Poke Sauce PK,no
3604_UOMCS12,Retail Pickeled Ginger Calif Cup,yes
3605_UOMBOT,Sushi Gari BOT,no
3605_UOMCS12,Sushi Gari BOT,yes
3606_UOMCS,Sushi Gari Canada,no
3610_UOMBOT,R Sesame 4oz,no
3610_UOMCS12,R Sesame 4oz,yes
3615_UOMCS20,Grated Wasabi,yes
3615_UOMEACH,Grated Wasabi,no
3620_UOMBOT,Wasabi Dressing 12,no
3620_UOMCS12,Wasabi Dressing 12,no
3625_UOMBOT,Ginger Dressing,no
3625_UOMCS12,Ginger Dressing,no
3630_UOMBOT,Wasabi Sauce,no
3630_UOMCS12,Wasabi Sauce,no
3635_UOMCS,Retail Sushi Seaweed 50pk,yes
3635_UOMCS2,Ntl Seaweed 50 pack,no
3635_UOMPACK,Ntl Seaweed 50 pack,no
3637_UOMCASE,Calpico Original,no
3638_UOMCASE,Calpico Strawberry,no
3639_UOMCASE,Calpico Mango,no
3640_UOMCS,Green Tea  24 Can,yes
3642_UOMCS,Green Tea Can  (Hello Kitty) CS,no
3647_UOMBOT,Soy Sauce Bottle,no
3647_UOMCS12,Soy Sauce Bottle,no
3647_UOMCS24,Soy Sauce Bottle,yes
3648_UOMCS,Soy Sauce Hello Kitty,no
3648_UOMCS24,Soy Sauce Bottle 24 cs,yes
3650_UOMBOT,S Vineger,no
3650_UOMCS12,S Vineger,no
3655_UOMCS,Tofu Miso 24,yes
3660_UOMCS,Miso Soup 24,yes
3665_UOMEACH,Sushi Kit New,no
3803_UOMPK,Takuwan 400G,no
3804_UOMCS,Sesame Soy Wrapper 20/10pk,yes
3805_UOMCS,Yellow Soy Wrapper 20/10pks,yes
3806_UOMCS,Quick Miso PK,no
3806_UOMPACK,Green Apple Origami Wrap 50pc/CS,no
3807_UOMPACK,Tomato Origami Wraps 50pc/CS,no
3808_UOMPACK,Mango Chipotle Origami Wraps 50pk/cs,yes
3809_UOMCS24,Color Soy Wrap,yes
3809_UOMPK,Color Soy Wrap,yes
3810_UOMCS,Soy Wrap Nori White,no
3811_UOMEACH,Furikake Nori Rice mix,no
3812_UOMCS12,Old Bay Season,no
3812_UOMEACH,Old Bay Season,no
3818_UOMEACH,Wheat Grain 44lb,no
3820_UOMEACH,Kosher Ginger,no
3825_UOMEACH,Kosher Wasabi 1KG,yes
3830_UOMCS,Kosher Nori 12/30sh,yes
3835_UOMCS,Kosher Soy,no
3840_UOMEACH,Natural Ginger 20LB,yes
3850_UOMBAG,Natural Wasabi 2.2LB,yes
3850_UOMCS16,Natural Wasabi 2.2LB,yes
3860_UOMCS,Natural Vin Orange 5.28gal,yes
3870_UOMBAG,Beet Root Chips,yes
3871_UOMBAG,Okra Chips,yes
3874_UOMEACH,DSD-AV Treha,no
3878_UOMEACH,DSD-B Soya Mix,no
3882_UOMEACH,DSD-C Suihan,no
3886_UOMEACH,DSD-D Soy Oil,no
3999_UOMBOT,Vegetarian Oyster Sauce,no
4192_UOMCS,Yamachan Ramen 40/CS,yes
4777_UOMCS16,CH-82 Fold Tray,no
4777_UOMPK,CH-82 Fold Tray,no
4998_UOMPK,16 oz MIC Bowl Set 50 pcs,no
5110_UOMCS16,FET 1.0 Eco Tray Body,yes
5110_UOMCS8,FET 1.0 Eco Tray Body 100pc,yes
5110_UOMPK,FET 1.0 Eco Tray Body 100pc,yes
5111_UOMCS16,FET 1.0 Eco Tray Lid 50pc,yes
5111_UOMCS8,FET 1.0 Eco Tray Lid 100pc,yes
5111_UOMPK,FET 1.0 Eco Tray Lid 50pc,yes
5115_UOMCS16,FET  1.5 Eco Tray Body,yes
5115_UOMCS8,FET  1.5 Eco Tray Body 100pc,yes
5115_UOMPK,FET  1.5 Eco Tray Body 100pc,yes
5116_UOMCS16,FET-1.5 Eco Tray Lid 50pc,yes
5116_UOMCS8,FET-1.5 Eco Tray Lid 100pc,yes
5116_UOMPK,FET-1.5 Eco Tray Lid 50pc,yes
5125_UOMCS20,AFC H1 Heart Cont Body 20 PC,yes
5125_UOMCS40,AFC H1 Heart Cont Body 10pc,no
5125_UOMPK,AFC H1 Heart Cont Body 20 PC,yes
5130_UOMCS20,AFC H1 Heart Lid 20 PC,yes
5130_UOMCS40,AFC H1 Heart Lid 20 PC,no
5130_UOMPK,AFC H1 Heart Lid 20 PC,yes
5135_UOMCS12,AFC-D1 Poke  Bowl Body 50pc PK,no
5135_UOMPK,AFC-D1 Poke  Bowl Body 50pc PK,no
5140_UOMCS12,AFC-D1 Poke Bowl Lid 50pc PK,no
5140_UOMPK,AFC-D1 Poke Bowl Lid 50pc PK,no
5145_UOMCS24,AFC-16 Clear Body,yes
5145_UOMPK,AFC-16 Clear Body,yes
5150_UOMCS24,AFC-16 Lid  Pack,yes
5150_UOMPK,AFC-16 Lid  Pack,yes
5155_UOMCS24,AFC-4 Blue Body Pack,yes
5155_UOMPK,AFC-4 Blue Body Pack,yes
5155A_UOMCS,R1.0 (AFC-4) Blue Set CS 8/50pc/CS,yes
5155B_UOMPK,R1.0 (AFC-4) Blue Set PK,yes
5156_UOMCS24,AFC-4 Clear Body,no
5156_UOMPK,AFC-4 Clear Body,no
5160_UOMCS24,AFC-4 Lid  Pack,yes
5160_UOMPK,AFC-4 Lid  Pack,yes
5165_UOMCS24,AFC-5 Blue Body Pack,yes
5165_UOMPK,AFC-5 Blue Body Pack,yes
5166_UOMCS24,AFC-5 Clear Body,no
5166_UOMPK,AFC-5 Clear Body,no
5170_UOMCS24,AFC-5 Lid Pack,yes
5170_UOMPK,AFC-5 Lid Pack,yes
5175_UOMCS16,AFC-20 Blue Body Pack,yes
5175_UOMPK,AFC-20 Blue Body Pack,yes
5175A_UOMCS,SK-20 Blue Set CS 6/50pc/set cs,yes
5175B_UOMPK,SK-20 (AFC-20) Set PK,yes
5175S_UOMCS16,AFC-20 Sakura Body 16/50pc,yes
5175S_UOMPK,AFC-20 Sakura Body 16/50pc,yes
5176_UOMCS16,AFC-20 Clear Body,yes
5176_UOMPK,AFC-20 Clear Body,yes
5180_UOMCS16,AFC-20 Lid  Pack,yes
