ProductCode,ProductName,Price,UOM,IsActive
3257_UOMCS,Rice Mix Takikomi Gomoku,51.4500,CS,no
3260_UOMEACH,Fish Powder 1LB,9.5000,EACH,no
3265_UOMBAG,Sesame Seeds 5LB,11.7800,BAG,yes
3265_UOMCS8,Sesame Seeds 5LB,94.2300,CS8,yes
3270_UOMBOT,Sesame Seed Blk 8oz,3.0500,BOT,yes
3270_UOMCS12,Sesame Seed Blk 8oz,36.5400,CS12,yes
3275_UOMCS12,S. Bonito Small,120.0000,CS12,no
3275_UOMEACH,S. Bonito Small,10.0000,EACH,no
3280_UOMCS10,Tapioca (Spring Roll Wrap) Paper 50pc,36.9600,CS10,yes
3280_UOMEACH,Tapioca (Spring Roll Wrap) Paper 50pc,3.7000,EACH,yes
3285_UOMPK,Gluten Free Fried Onion,1.0500,PK,no
3289_UOMCS15,Fried Onion,27.4100,CS15,no
3289_UOMEACH,Fried Onion,1.8300,EACH,no
3290_UOMCS10,Fried Onions 10/1kg,36.5400,CS10,yes
3290_UOMEACH,Fried Onions 10/1kg,3.6000,EACH,no
3293_UOMPACK,Nori Komi,14.2500,PACK,no
3299_UOMEACH,Seaweed Salad Mix. Dry 2/12/50g,14.0000,EACH,no
3308_UOMCS,To Go Soy  L/S 1000pc Canada,17.6600,CS,no
3310_UOMCS,Soy Sauce Gluten Free 200pc,3.7000,CS,no
3403_UOMBOT,Kikk Sushi Sauce  0.5 gal,8.5000,BOT,no
3403_UOMCS6,Kikk Sushi Sauce  0.5 gal,51.0000,CS6,no
3404_UOMBOT,Sushi Sauce Case  4/gal,15.7300,BOT,no
3404_UOMCS4,Sushi Sauce Case  4/gal,62.9300,CS4,yes
3406_UOMCS,Kik Ponzu Sauce 500pc,16.2400,CS,yes
3409_UOMBOT,Wasabi Sauce 0.5G,11.8000,BOT,yes
3409_UOMCS6,Wasabi Sauce 0.5G,70.8300,CS6,yes
3412_UOMBOT,Premium Spicy Sauce 0.5G,12.1800,BOT,yes
3412_UOMCS6,Premium Spicy Sauce 0.5G,73.0800,CS6,yes
3415_UOMBOT,Hot Garlic Sauce,17.2600,BOT,yes
3415_UOMCS4,Hot Garlic Sauce,73.6900,CS4,yes
3418_UOMCS,Sweet  Chili SA 200,31.7200,CS,yes
3419_UOMCS,Chili Oil for Sushi,39.5500,CS,no
3419_UOMCS40,Chili Oil for Sushi,52.0000,CS40,no
3420_UOMCS,Chili Oil for Hot Food,35.8200,CS,yes
3420_UOMCS40,Chili Oil for Hot Food,47.9100,CS40,no
3421_UOMCS,Hoisin Sauce 200,29.2600,CS,no
3424_UOMBOT,Spicy Sesame Oil,21.3200,BOT,yes
3424_UOMCS6,Spicy Sesame Oil,127.8900,CS6,yes
3427_UOMBOT,Sriracha L 28oz,2.2800,BOT,yes
3427_UOMCS12,Sriracha L 28oz,27.4100,CS12,yes
3429_UOMBOT,Katsu Sauce 6/cs,6.8200,BOT,no
3429_UOMCS6,Katsu Sauce 6/cs,41.5300,CS6,no
3430_UOMCS,**AFC Basic Sauce,28.2700,CS,yes
3431_UOMCS,AFC BBQ Sauce,31.4600,CS,no
3432_UOMCS,Chicken Bouillon Powder,30.0300,CS,no
3433_UOMBOT,Ginger Sauce 58oz,13.6100,BOT,no
3433_UOMCS,**AFC Orange Sauce,26.2600,CS,yes
3434_UOMCS,AFC Peking Sauce,37.9900,CS,no
3435_UOMCS,**AFC Sesame Sauce,26.2900,CS,yes
3436_UOMBOT,Chili Sf Sauce 56 oz,13.9800,BOT,no
3436_UOMCS,**AFC Stir Fry Sauce,26.8000,CS,yes
3437_UOMBOT,**Sweet & Sour Sauce,6.4000,BOT,no
3437_UOMCS,Sweet & Sour Sauce,25.1900,CS,no
3437_UOMCS4,**Sweet & Sour Sauce,25.5800,CS4,yes
3438_UOMBOT,**AFC Yakiniku Sauce,14.1300,BOT,no
3438_UOMCS,AFC Yakiniku Sauce,55.6600,CS,no
3438_UOMCS4,**AFC Yakiniku Sauce,56.4900,CS4,yes
3439_UOMCS,Micro Noodle Bowl 38oz,48.3600,CS,yes
3440_UOMEACH,Mushroom Bouillon Powder 12/CS,2.4500,EACH,no
3443_UOMBAG,Classic Teriyaki Sauce 12 bag,2.5500,BAG,no
3443_UOMCS12,**Classic Teriyaki Sauce 12 bag/1kg,31.0600,CS12,yes
3444_UOMBAG,Sweet & Sour Bag 12 bag,3.0000,BAG,no
3444_UOMCS12,Sweet & Sour Bag 12 bag,36.0000,CS12,no
3445_UOMCS,AFC Sweet & Spicy Dipping Sauce,53.5900,CS,yes
3446_UOMCASE,AFC Fusion Spicy Sauce,46.7500,CASE,no
3447_UOMCASE,AFC Spicy Bomb Sauce,40.6400,CASE,yes
3448_UOMBOT,Yakisoba Sauce,8.8800,BOT,yes
3448_UOMCS6,Yakisoba Sauce,53.2900,CS6,yes
3450_UOMBOT,Basic Sauce,10.7500,BOT,no
3450_UOMCS4,Basic Sauce,43.0000,CS4,no
3451_UOMBOT,Okonomi  Sauce,4.2200,BOT,no
3451_UOMCS6,Okonomi  Sauce,50.5800,CS6,no
3454_UOMBOT,NEW YAKINIKU SAUCE 1 GAL,19.8500,BOT,no
3454_UOMCS4,NEW YAKINIKU SAUCE 1 GAL,79.4000,CS4,no
3460_UOMBOT,Creamy Sesame Dressing,8.0000,BOT,no
3463_UOMBOT,Men Tsuyu  (Soup Base) 12/16oz,3.1900,BOT,no
3463_UOMCS12,Men Tsuyu  (Soup Base) 12/16oz,38.2500,CS12,yes
3466_UOMBOT,SESAME SAUCE,10.7500,BOT,no
3466_UOMCS,Creamy Sesame Dressing 6/32oz,44.5500,CS,yes
3467_UOMBAG,Sesame Sauce 15/2lb,2.1500,BAG,no
3467_UOMCS12,Creamy Sesame Dressing CS12,34.8300,CS12,no
3467_UOMCS15,Sesame Sauce 15/2lb,32.2500,CS15,no
3468_UOMCS,Chinese Style Sesame Dressing,64.8000,CS,yes
3468_UOMCS6,Chinese Style Sesame Dressing,64.8000,CS6,no
3469_UOMBOT,ORANGE SAUCE Bot.4 Gal/CS,10.7500,BOT,no
3470_UOMBAG,Orange Sauce 15/2lbs,2.1500,BAG,no
3470_UOMCS15,Orange Sauce 15/2lbs,32.2500,CS15,no
3475_UOMBOT,PEKING SAUCE,12.1000,BOT,no
3485_UOMBOT,Miso Ramen Soup 6/2kg,23.2000,BOT,yes
3485_UOMCS6,Miso Ramen Soup 6/2kg,139.2200,CS6,yes
3490_UOMCS12,AFC Poke Sauce 12/720g Otafuku,128.4000,CS12,no
3490_UOMPK,AFC Poke Sauce 12/720g Otafuku,10.7000,PK,no
3491_UOMCS,Premium AFC Poke Sauce 8/720g,77.1400,CS,yes
3492_UOMPK,Premium AFC Poke Sauce PK,9.5000,PK,no
3604_UOMCS12,Retail Pickeled Ginger Calif Cup,14.6200,CS12,yes
3605_UOMBOT,Sushi Gari BOT,1.2000,BOT,no
3605_UOMCS12,Sushi Gari BOT,14.6200,CS12,yes
3606_UOMCS,Sushi Gari Canada,17.0100,CS,no
3610_UOMBOT,R Sesame 4oz,0.9100,BOT,no
3610_UOMCS12,R Sesame 4oz,10.9600,CS12,yes
3615_UOMCS20,Grated Wasabi,32.4800,CS20,yes
3615_UOMEACH,Grated Wasabi,1.6200,EACH,no
3620_UOMBOT,Wasabi Dressing 12,2.4500,BOT,no
3620_UOMCS12,Wasabi Dressing 12,29.4000,CS12,no
3625_UOMBOT,Ginger Dressing,2.4500,BOT,no
3625_UOMCS12,Ginger Dressing,29.4000,CS12,no
3630_UOMBOT,Wasabi Sauce,2.4500,BOT,no
3630_UOMCS12,Wasabi Sauce,29.4000,CS12,no
3635_UOMCS,Retail Sushi Seaweed 50pk,50.0000,CS,yes
3635_UOMCS2,Ntl Seaweed 50 pack,99.0000,CS2,no
